Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2024-12-15,,,,,,,,
2024-12-16,113.0,113.06999969482422,111.7300033569336,112.11000061035156,10528500.0,0.5,0.0,DIS
2024-12-17,111.02999877929688,114.04000091552734,110.8000030517578,113.0199966430664,12238600.0,0.0,0.0,DIS
2024-12-18,113.33999633789062,116.12000274658205,111.23999786376952,111.3499984741211,12292800.0,0.0,0.0,DIS
2024-12-19,111.66000366210938,112.91000366210938,111.25,111.37000274658205,9468500.0,0.0,0.0,DIS
2024-12-20,110.61000061035156,112.97000122070312,110.43000030517578,112.02999877929688,17955300.0,0.0,0.0,DIS
2024-12-21,110.61000061035156,112.97000122070312,110.43000030517578,112.02999877929688,17955300.0,,,
2024-12-22,110.61000061035156,112.97000122070312,110.43000030517578,112.02999877929688,17955300.0,,,
2024-12-23,111.61000061035156,111.8499984741211,110.30999755859376,111.4000015258789,6037200.0,0.0,0.0,DIS
2024-12-24,111.25,112.73999786376952,111.19000244140624,112.55999755859376,2475000.0,0.0,0.0,DIS
2024-12-25,111.25,112.73999786376952,111.19000244140624,112.55999755859376,2475000.0,,,
2024-12-26,112.12000274658205,113.31999969482422,111.86000061035156,112.5500030517578,4781400.0,0.0,0.0,DIS
2024-12-27,111.81999969482422,112.12000274658205,110.86000061035156,111.5500030517578,4523800.0,0.0,0.0,DIS
2024-12-28,111.81999969482422,112.12000274658205,110.86000061035156,111.5500030517578,4523800.0,,,
2024-12-29,111.81999969482422,112.12000274658205,110.86000061035156,111.5500030517578,4523800.0,,,
2024-12-30,110.43000030517578,111.54000091552734,109.83000183105467,110.8000030517578,5716300.0,0.0,0.0,DIS
2024-12-31,110.77999877929688,111.58999633789062,110.66999816894533,111.3499984741211,4757500.0,0.0,0.0,DIS
2025-01-01,110.77999877929688,111.58999633789062,110.66999816894533,111.3499984741211,4757500.0,,,
2025-01-02,111.6999969482422,112.1999969482422,110.16999816894533,110.81999969482422,5688100.0,0.0,0.0,DIS
2025-01-03,111.37000274658205,111.54000091552734,110.18000030517578,111.16000366210938,5393100.0,0.0,0.0,DIS
2025-01-04,111.37000274658205,111.54000091552734,110.18000030517578,111.16000366210938,5393100.0,,,
2025-01-05,111.37000274658205,111.54000091552734,110.18000030517578,111.16000366210938,5393100.0,,,
2025-01-06,111.47000122070312,112.8499984741211,110.87000274658205,111.0500030517578,6274400.0,0.0,0.0,DIS
2025-01-07,112.1500015258789,113.73999786376952,111.29000091552734,111.38999938964844,7878800.0,0.0,0.0,DIS
2025-01-08,111.0,111.11000061035156,108.63999938964844,109.76000213623048,7805300.0,0.0,0.0,DIS
2025-01-09,111.0,111.11000061035156,108.63999938964844,109.76000213623048,7805300.0,,,
2025-01-10,110.0,110.54000091552734,107.62000274658205,108.6500015258789,8835500.0,0.0,0.0,DIS
2025-01-11,110.0,110.54000091552734,107.62000274658205,108.6500015258789,8835500.0,,,
2025-01-12,110.0,110.54000091552734,107.62000274658205,108.6500015258789,8835500.0,,,
2025-01-13,107.93000030517578,108.61000061035156,106.72000122070312,108.08000183105467,6690200.0,0.0,0.0,DIS
2025-01-14,108.68000030517578,108.95999908447266,107.61000061035156,108.12000274658205,5501600.0,0.0,0.0,DIS
